"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.611948632049135,1,"UWaveGestureLibraryY"
"User",2,0.130653266331658,1,"UWaveGestureLibraryY"
"catch22",24,0.601340033500838,2,"UWaveGestureLibraryY"
"User",2,0.13176996091569,2,"UWaveGestureLibraryY"
"catch22",24,0.602735901730877,3,"UWaveGestureLibraryY"
"User",2,0.120882188721385,3,"UWaveGestureLibraryY"
"catch22",24,0.616973757677275,4,"UWaveGestureLibraryY"
"User",2,0.128978224455611,4,"UWaveGestureLibraryY"
"catch22",24,0.604410943606923,5,"UWaveGestureLibraryY"
"User",2,0.128419877163596,5,"UWaveGestureLibraryY"
"catch22",24,0.62283640424344,6,"UWaveGestureLibraryY"
"User",2,0.135678391959799,6,"UWaveGestureLibraryY"
"catch22",24,0.603294249022892,7,"UWaveGestureLibraryY"
"User",2,0.124790619765494,7,"UWaveGestureLibraryY"
"catch22",24,0.608877721943049,8,"UWaveGestureLibraryY"
"User",2,0.124790619765494,8,"UWaveGestureLibraryY"
"catch22",24,0.609156895589056,9,"UWaveGestureLibraryY"
"User",2,0.120882188721385,9,"UWaveGestureLibraryY"
"catch22",24,0.603294249022892,10,"UWaveGestureLibraryY"
"User",2,0.133445002791736,10,"UWaveGestureLibraryY"
"catch22",24,0.613344500279174,11,"UWaveGestureLibraryY"
"User",2,0.123394751535455,11,"UWaveGestureLibraryY"
"catch22",24,0.602456728084869,12,"UWaveGestureLibraryY"
"User",2,0.135120044667783,12,"UWaveGestureLibraryY"
"catch22",24,0.615577889447236,13,"UWaveGestureLibraryY"
"User",2,0.12534896705751,13,"UWaveGestureLibraryY"
"catch22",24,0.603294249022892,14,"UWaveGestureLibraryY"
"User",2,0.128419877163596,14,"UWaveGestureLibraryY"
"catch22",24,0.61250697934115,15,"UWaveGestureLibraryY"
"User",2,0.120323841429369,15,"UWaveGestureLibraryY"
"catch22",24,0.611390284757119,16,"UWaveGestureLibraryY"
"User",2,0.132328308207705,16,"UWaveGestureLibraryY"
"catch22",24,0.611669458403127,17,"UWaveGestureLibraryY"
"User",2,0.129536571747627,17,"UWaveGestureLibraryY"
"catch22",24,0.607761027359017,18,"UWaveGestureLibraryY"
"User",2,0.113902847571189,18,"UWaveGestureLibraryY"
"catch22",24,0.608598548297041,19,"UWaveGestureLibraryY"
"User",2,0.1214405360134,19,"UWaveGestureLibraryY"
"catch22",24,0.599385817978783,20,"UWaveGestureLibraryY"
"User",2,0.144332774986041,20,"UWaveGestureLibraryY"
"catch22",24,0.602177554438861,21,"UWaveGestureLibraryY"
"User",2,0.125907314349525,21,"UWaveGestureLibraryY"
"catch22",24,0.60748185371301,22,"UWaveGestureLibraryY"
"User",2,0.128978224455611,22,"UWaveGestureLibraryY"
"catch22",24,0.623394751535455,23,"UWaveGestureLibraryY"
"User",2,0.121998883305416,23,"UWaveGestureLibraryY"
"catch22",24,0.619486320491346,24,"UWaveGestureLibraryY"
"User",2,0.115857063093244,24,"UWaveGestureLibraryY"
"catch22",24,0.60748185371301,25,"UWaveGestureLibraryY"
"User",2,0.12534896705751,25,"UWaveGestureLibraryY"
"catch22",24,0.604969290898939,26,"UWaveGestureLibraryY"
"User",2,0.131490787269682,26,"UWaveGestureLibraryY"
"catch22",24,0.599106644332775,27,"UWaveGestureLibraryY"
"User",2,0.140424343941932,27,"UWaveGestureLibraryY"
"catch22",24,0.610273590173088,28,"UWaveGestureLibraryY"
"User",2,0.146007816862088,28,"UWaveGestureLibraryY"
"catch22",24,0.604690117252931,29,"UWaveGestureLibraryY"
"User",2,0.125628140703518,29,"UWaveGestureLibraryY"
"catch22",24,0.596873255164712,30,"UWaveGestureLibraryY"
"User",2,0.123673925181463,30,"UWaveGestureLibraryY"
