feature_set,Repeat_Number,Balanced_Accuracy
FTM,0,0.701060606060606
FTM,1,0.7484848484848484
FTM,2,0.6221212121212122
FTM,3,0.7270454545454546
FTM,4,0.74
FTM,5,0.7238636363636364
FTM,6,0.696590909090909
FTM,7,0.635
FTM,8,0.7016666666666667
FTM,9,0.7086363636363636
FTM+catch22,0,0.6368939393939395
FTM+catch22,1,0.6856060606060607
FTM+catch22,2,0.643560606060606
FTM+catch22,3,0.6393939393939394
FTM+catch22,4,0.6531060606060606
FTM+catch22,5,0.6293181818181818
FTM+catch22,6,0.6590151515151514
FTM+catch22,7,0.6439393939393939
FTM+catch22,8,0.6747727272727273
FTM+catch22,9,0.6543181818181818
